FIRE_YEAR,IGNITN_DT,LATITUDE,LONGITUDE,CURRENT_SZ
2025,2025-06-13,49.0167,-118.4233,1.12
2025,2025-04-11,55.6044,-122.3094,0.009
2025,2025-06-17,50.1375,-120.9684,0.009
2025,2025-04-16,49.0905,-119.013,0.3
2025,2025-07-02,49.6115,-115.8549,0.59
2025,2025-05-14,53.1165,-119.75,0.009
2025,2025-07-16,49.8804,-120.6295,1.51
2025,2025-09-15,55.0538,-128.2386,0.009
2025,2025-10-13,49.9403,-119.5063,0.64
2025,2025-06-18,53.0973,-122.6224,0.009
2025,2025-06-12,50.4158,-122.7031,0.21
2025,2025-07-09,50.174,-120.1421,0.009
2025,2025-04-05,55.8122,-121.6722,0.4
2025,2025-04-18,49.0825,-120.6948,0.37
2025,2025-06-08,53.7528,-125.9446,0.6
2025,2025-08-28,52.9766,-119.3696,0.2
2025,2025-06-08,55.3783,-127.6896,0.56
2025,2025-06-08,53.9946,-126.1702,0.009
2025,2025-09-14,54.1334,-125.3583,0.009
2025,2025-05-31,50.2702,-117.7882,0.1
2025,2025-09-26,56.8393,-120.4083,0.5
2025,2025-04-27,50.3322,-126.017,0.1
2025,2025-08-30,52.444,-120.8502,2331.25
2025,2025-08-26,50.2929,-117.9484,0.009
2025,2025-09-04,49.2792,-117.8665,108.0
2025,2025-07-31,53.1983,-122.4939,1.9
2025,2025-09-04,49.0813,-117.197,0.14
2025,2025-05-03,49.6232,-125.2579,0.009
2025,2025-09-05,49.8693,-118.3387,0.009
2025,2025-08-24,51.4787,-119.008,25.9
2025,2025-06-09,49.9456,-125.5442,3.73
2025,2025-07-11,54.9955,-120.8743,0.009
2025,2025-04-25,50.1464,-115.9825,0.009
2025,2025-09-09,49.2152,-124.6753,0.009
2025,2025-07-02,48.6577,-124.2155,5.36
2025,2025-07-23,53.0436,-125.3313,6.87
2025,2025-07-26,49.8603,-125.503,0.2
2025,2025-04-24,49.4841,-125.1236,0.001
2025,2025-05-01,49.6006,-121.8368,0.05
2025,2025-06-10,49.1687,-124.4344,5.35
2025,2025-09-12,49.9019,-119.7004,0.1
2025,2025-07-04,49.1769,-124.3055,0.009
2025,2025-05-06,51.1009,-119.6714,0.009
