YEAR,MONTH,DAY,LATITUDE,LONGITUDE,SIZE_HA,CAUSE
2023,8,3,49.782,-119.4633,0.009,H
2023,7,23,49.3629,-121.3737,0.009,H
2023,8,20,48.4649,-124.0582,0.05,H
2023,6,26,49.3655,-123.2735,0.4,H
2023,6,20,49.8649,-126.6741,0.04,H
2023,6,4,48.9542,-123.8117,0.009,H
2023,8,19,49.878,-125.7092,0.009,H
2023,7,2,48.7785,-124.8782,16.6,H
2023,6,11,49.9387,-119.5279,0.7,H
2023,6,25,48.4701,-123.4667,0.1,H
2023,10,7,50.5566,-116.0838,1.1,H
2023,6,30,48.4067,-123.5143,0.1,H
2023,4,21,51.8913,-123.2319,47.76,H
2023,5,2,56.934,-120.978,4.0,H
2023,5,18,48.4256,-124.0623,0.009,H
2023,4,29,50.3369,-125.8975,0.009,H
2023,4,28,56.3496,-120.9103,4.0,H
2023,9,17,53.0226,-124.7984,10.5,H
2023,9,9,51.8434,-120.9834,0.1,H
2023,4,28,55.7521,-120.4799,2.0,H
2023,4,30,53.0504,-122.532,0.6,H
2023,4,30,55.7133,-120.643,3.9,H
2023,4,29,52.1304,-121.9469,0.1,H
2023,4,5,51.0021,-120.2217,0.5,H
2023,4,28,51.2218,-121.5616,10.5,H
2023,2,8,50.0655,-119.4356,0.65,H
2023,4,17,51.6072,-121.2256,1.03,H
2023,8,16,49.8757,-119.4535,0.009,H
2023,5,3,55.6775,-120.1148,1.96,H
2023,4,29,51.3709,-120.9989,113.0,H
2023,4,27,50.3125,-122.6772,0.3,H
2023,10,6,56.4061,-121.2086,0.009,H
2023,4,29,54.0894,-122.5859,0.62,H
2023,4,30,51.3067,-121.3799,3.78,H
2023,4,4,58.8463,-122.6588,1.25,H
2023,5,13,55.9871,-120.5132,25.86,H
2023,5,1,56.271,-119.9341,6422.17,H
2023,4,8,51.6791,-121.2993,0.009,H
2023,4,29,50.0777,-117.9176,0.1,H
2023,5,1,49.1428,-115.1008,0.1,H
2023,5,14,50.0393,-117.9004,0.1,H
2023,6,24,56.168,-121.7653,12.0,H
2023,4,5,50.2611,-122.5057,0.7,H
2023,4,28,56.0737,-120.6919,9.76,H
2023,4,6,52.1005,-124.2352,4.79,H
2023,3,17,50.0922,-120.7699,1.27,H
2023,6,5,52.1206,-123.2388,0.1,H
2023,7,15,49.8728,-119.5959,0.009,H
2023,3,18,50.149,-120.9253,0.1,H
2023,3,27,50.6145,-120.1766,0.41,H
2023,5,13,56.3482,-121.1924,0.2,H
2023,8,3,50.134,-117.8013,0.009,H
2023,5,3,56.3376,-121.1013,89.0,H
2023,4,27,51.518,-120.8383,0.1,H
2023,5,1,56.5319,-121.9246,385.0,H
2023,5,20,54.2426,-125.7928,0.009,H
2023,4,29,54.8733,-127.264,3.54,H
2023,5,4,54.8,-127.1897,1.3,H
2023,3,30,51.6236,-119.9411,0.98,H
2023,3,30,50.4329,-120.3149,65.0,H
2023,4,24,54.7099,-127.0563,3.6,H
2023,4,15,50.8489,-120.9569,2.0,H
2023,4,28,56.7107,-121.0695,154.0,H
2023,7,30,49.4449,-123.2393,0.1,H
2023,10,14,49.3576,-121.4393,0.009,U
2023,11,30,49.8717,-119.3195,0.009,H
2023,6,24,49.9981,-119.2835,0.009,H
2023,7,2,49.1164,-119.151,0.009,H
2023,7,19,49.1211,-123.9332,0.009,H
2023,10,6,48.9483,-123.8204,0.009,H
2023,3,21,50.1638,-120.8825,0.4,H
2023,3,28,50.0505,-120.8432,7.17,H
2023,4,29,50.1469,-120.8489,38.65,H
2023,4,15,50.0385,-120.8574,17.0,H
2023,5,16,50.033,-120.8706,0.01,H
2023,3,19,49.4406,-120.2952,2.2,H
2023,5,15,51.9379,-123.1412,0.009,H
2023,4,4,50.5651,-121.2967,16.03,H
2023,4,6,51.5211,-124.1619,2.0,H
2023,4,20,50.7917,-119.7597,5.7,H
2023,4,16,50.0423,-120.8439,0.9,H
2023,4,27,49.9982,-121.5258,0.009,H
2023,9,15,49.9167,-121.4445,0.009,H
2023,5,13,53.9844,-123.825,0.2,H
2023,5,6,55.8759,-121.4149,1.5,H
2023,4,14,51.1721,-120.1481,0.124,H
2023,6,24,49.9648,-125.437,0.45,H
2023,10,14,51.7934,-122.5475,0.009,H
2023,5,21,50.1903,-125.2015,0.009,H
2023,5,4,53.8332,-122.7214,2.0,H
2023,4,28,55.8354,-121.8479,120.0,H
2023,7,7,50.0704,-125.6329,0.009,H
2023,6,11,56.6541,-121.7094,0.009,H
2023,7,14,49.1514,-115.1259,0.1,H
2023,5,28,49.2242,-124.4323,0.02,H
2023,8,7,52.7689,-119.1574,0.009,H
2023,8,19,49.5046,-119.6333,0.3,H
2023,7,14,49.1548,-115.1341,0.009,H
2023,7,4,48.7301,-124.1753,0.009,H
2023,9,15,50.7258,-119.5532,0.009,H
2023,5,18,52.2944,-121.4431,0.009,H
2023,8,21,48.4825,-123.4635,0.11,H
2023,8,19,50.1672,-123.392,0.1,H
2023,5,18,55.9598,-120.6104,3.0,H
2023,5,30,50.6193,-120.45,0.009,H
2023,4,27,56.4318,-120.8672,2.0,H
2023,4,15,52.0427,-123.2098,18.1,H
2023,4,27,51.9191,-123.1273,21.49,H
2023,4,30,53.9847,-123.825,0.6,H
2023,6,5,50.2396,-120.4576,7.62,H
2023,5,28,54.7485,-128.7725,0.83,H
2023,6,24,53.9113,-123.638,0.5,H
2023,6,1,56.2846,-121.2233,3.6,H
2023,6,4,49.059,-123.9681,0.009,H
2023,10,1,51.1072,-116.7026,0.202,H
2023,6,9,54.0994,-124.8156,0.2,H
2023,8,3,54.2911,-124.8198,0.48,H
2023,5,19,53.5568,-121.7668,55.0,N
2023,5,21,49.0933,-115.1216,0.009,N
2023,8,4,49.0888,-114.4491,0.4,N
2023,7,17,54.7592,-123.1402,0.08,N
2023,7,23,53.9727,-122.0778,0.009,N
2023,7,17,51.4623,-119.7008,1771.9,N
2023,7,15,52.7614,-122.1575,0.009,H
2023,7,1,52.1328,-118.4882,0.009,N
2023,8,6,49.0406,-119.1305,0.009,N
2023,5,20,53.161,-123.3878,1.2,N
2023,9,3,58.8513,-123.9691,0.009,N
2023,7,24,51.1648,-118.1837,0.009,N
2023,8,23,49.2871,-117.6845,0.009,N
2023,8,29,49.314,-121.7264,1.5,N
2023,7,7,52.8138,-122.9345,2784.7,N
2023,6,24,51.8605,-120.9781,0.009,N
2023,7,13,51.1679,-125.017,238.0,N
2023,7,10,59.8051,-121.7854,6996.4,N
2023,5,27,49.3723,-117.575,0.009,N
